Query ID,Execution Time (ms),Index Used
1,22,email_1
2,11,email_1
3,10,email_1
4,9,first_name_1_last_name_1
5,10,first_name_1_last_name_1
6,9,first_name_1_last_name_1
7,9,email_1
8,9,passport_number_1
9,8,email_1
10,8,email_1
11,9,email_1
12,8,passport_number_1
13,9,passport_number_1
14,9,email_1
15,8,email_1
16,8,email_1
17,8,first_name_1_last_name_1
18,9,passport_number_1
19,8,passport_number_1
20,9,first_name_1_last_name_1
21,8,email_1
22,8,email_1
23,8,first_name_1_last_name_1
24,8,email_1
